Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
19,15ХГН2ТА,,,X12CrNi18‑10,,ГОСТ 4543-2016,,,1
20,15ХСНД,,,Q345GNHL,,ГОСТ 19281-2014,,,1
21,18Х2Н2М,,,18CrNiMo7-6,,ГОСТ 4543-2016,13.50,Поковка,1
22,18Х2Н4ВА,,,20Cr2Ni4W,,ГОСТ 4543-2016,14.00,Поковка,1
23,18Х2Н4МА,,,18CrNiMo,,ГОСТ 4543-2016,17.00,Поковка,1
24,18Х3МФ,,,20Cr3MoWVA,,ГОСТ 20072-74,,,1
25,18ХН3МА,,,18CrNiMo7-6,,ГОСТ ТУ,12.00,Поковка,1
26,20Х1М1Ф1БР,,,12Cr1MoV,,ГОСТ 20072-74,,,1
27,20Х1М1Ф1ТР,,,15CrMoR,,ГОСТ 20072-74,,,1
28,20Х2М,,,20Cr2Mo,,ГОСТ 4543-2016 (у),11.00,Поковка,1
29,20Х2МА,,,30CrMo,,ГОСТ 2590-2006,,,1
30,20Х2Н4А,,,20Cr2Ni4,,ГОСТ 4543-2016,14.00,Поковка,1
31,20Х2Н4МФ,,,20Cr2Ni4A,,ГОСТ ТУ,,,1
32,20Х2Н4МФА,,,20Cr2Ni4A,,ГОСТ ТУ,,,1
33,20Х3МВФ,,,25Cr2MoV,,ГОСТ 20072-74,,,1
34,20ХГНМ,,,20CrNiMo,,ГОСТ 4543-2016,,,1
35,20ХГНР,,,20SiMn2MoV,,ГОСТ 4543-2016,14.00,Поковка,1
36,20ХГНТР,,,20NiCrMo2‑2,,ГОСТ 4543-2016,,,1
37,20ХГСА,,,20CrMnSi,,ГОСТ 4543-2016,,,1
38,20ХМ,,,20CrMo,,ГОСТ 4543-2016,,,1
39,20ХМФА,,,18CrMo4,,ГОСТ 4543-2016,,,1
40,20ХН,,,20CrNi,,ГОСТ 4543-2016,,,1
41,20ХН2А,,,17CrNiMo6,,ГОСТ 4543-2016,,,1
42,20ХН2М,,,20CrNi3Mo,,ГОСТ 4543-2016,14.00,Поковка,1
43,20ХН3А,,,20CrNi3,,ГОСТ 4543-2016,14.00,Поковка,1
44,20ХН4ФА,,,20CrNiMoV,,ГОСТ 4543-2016,17.00,Поковка,1
45,20ХНР,,,20CrNiMo,,ГОСТ 4543-2016,,,1
46,20ХФР,,,20CrMnTi,,ГОСТ 4543-2016,,,1
47,20ЮЧ,,,20Cr,,ГОСТ ТУ,,,1
48,24ХМ1Ф,,,12CrMoV,,ГОСТ 20072-74,,,1
49,25XГCA,,,25CrMnSiA,,ГОСТ 4543-2016,,,1
50,25Х1М1Ф,,,25CrMoVA,,ГОСТ 20072-74,,,1
51,25Х1М1ФА,,,25CrMoVA,,ГОСТ 20072-74 (у),,,1
52,25Х1МФ,,,25CrMoVA,,ГОСТ 20072-74,14.00,Поковка,1
53,25Х2М1Ф,,,25Cr2Mo1V,,ГОСТ 20072-74 (у),,,1
54,25Х2Н4МА,,,18Cr2Ni4W,,ГОСТ 4543-2016,,,1
55,25ХГМ,,,25CrMnMo,,ГОСТ 4543-2016,,,1
56,25ХГМА,,,20CrMnMo,,ГОСТ 4543-2016,,,1
57,25ХГНМТ,,,20CrNiMo,,ГОСТ 4543-2016,,,1
58,25ХГСА,,,30CrMnSi,,ГОСТ 4543-2016,,,1
59,25ХГТ,,,20CrMnTi,,ГОСТ 4543-2016,12.00,Поковка,1
60,26ХГ2МФ,,,30CrMnSiMoV,,ГОСТ 4543-2016,,,1
61,28Х2М,,,30CrMo,,ГОСТ 4543-2016,,,1
62,28ХГН3МА,,,30CrNi3Mo,,ГОСТ 4543-2016,,,1
63,30Х2ГМТ,,,30CrMnMoTi,,ГОСТ 4543-2016,,,1
64,30Х2Н2М,,,30Cr2Ni2Mo,,ГОСТ 4543-2016,13.00,Поковка,1
65,30Х2НМФА,,,30Cr2Ni2Mo,,ГОСТ 4543-2016,,,1
66,30Х3МФ,,,30CrMoV9,,ГОСТ 4543-2016,15.00,Поковка,1
67,30ХГВТ,,,30CrMnTi,,ГОСТ 4543-2016,,,1
68,30ХГС,,,30MnCrSi,,ГОСТ 4543-2016,9.50,Поковка,1
69,30ХГСА,,,30CrMnSiA,,ГОСТ 4543-2016,9.50,Поковка,1
70,30ХГСН2А,,,30CrMnSiNi2,,ГОСТ 4543-2016,,,1
71,30ХГТ,,,30CrMnTi,,ГОСТ 4543-2016,,,1
72,30ХМ,,,30CrMo,,ГОСТ 4543-2016,8.50,Поковка,1
73,30ХМА,,,30CrMo,,ГОСТ 4543-2016,8.50,Поковка,1
74,30ХМФ,,,30CrMoV9,,ГОСТ 4543-2016,8.50,Поковка,1
75,30ХН2МА,,,30CrNiMo,,ГОСТ 4543-2016,14.00,Поковка,1
76,30ХН2МФА,,,30Cr2Ni4MoV,,ГОСТ 4543-2016,,,1
77,30ХН3А,,,34CrNi2,,ГОСТ 4543-2016,15.00,Поковка,1
78,30ХНМ,,,30CrNiMo8,,ГОСТ 4543-2016,11.00,Поковка,1
79,30ХНМФА,,,30Cr2Ni2MoV,,ГОСТ 4543-2016,,,1
80,30ХРА,,,28Cr4,,ГОСТ 4543-2016,,,1
81,32ХГМА,,,35CrMo,,ГОСТ 4543-2016,,,1
82,34Х1НМ,,,34CrNiMo6,,ГОСТ 4543-2016,,,1
83,34Х2Н2М,,,34Cr2Ni2Mo,,ГОСТ 4543-2016,,,1
84,34ХМ,,,35CrMo,,ГОСТ 4543-2016,,,1
85,34ХН1М,,,34CrNiMo6,,ГОСТ 4543-2016,14.00,Поковка,1
86,34ХН1М2ФА,,,34Cr2Ni2MoV,,ГОСТ ТУ,,,1
87,34ХН1МА,,,34CrNiMo6,,ГОСТ 4543-2016,14.00,Поковка,1
88,34ХН3М,,,34CrNi3Mo,,ГОСТ 4543-2016,14.50,Прокат,1
89,34ХН3М,,,34CrNi3Mo,,ГОСТ 4543-2016,15.00,Поковка,1
90,34ХН3МА,,,34CrNi3Mo,,ГОСТ 4543-2016 (у),16.00,Поковка,1
91,35Х2М,,,35Cr2Mo,,ГОСТ 4543-2016,,,1
92,35ХГН,,,35CrNiMo,,ГОСТ 4543-2016,,,1
93,35ХГС,,,35CrMnSi,,ГОСТ 4543-2016,,,1
94,35ХГСА,,,35CrMnSi,,ГОСТ 4543-2016,9.50,Поковка,1
95,35ХМ,,,35CrMo,,ГОСТ 4543-2016,5.10,Лист,1
