"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Поковка вала ротора ч.1502-76-05П","1502-76-05П","ИСО ООО","1.000","4,400","Ст.35","53,000.00","12.05","12.05","Коновалов Данила Евгеньевич","20.09.2023, Выиграли","4,400","7,78"
"Поковка вала ротора ч.1502-76-05П","1502-76-05П","ИСО ООО","1.000","4,400","Ст.35","62,500.00","14.20","14.20","Коновалов Данила Евгеньевич","04.06.2024, Проиграли","4,400","6,80"
"Поковка вала ротора ч.1502-76-05П","1502-76-05П","ИСО ООО","1.000","4,400","Ст.35","62,500.00","14.20","14.20","Коновалов Данила Евгеньевич","25.07.2024, Отменен","4,400",""
"Поковка Валок ч.135-4В","135-4В","ЧТПЗ","6.000","4,812","50","156,014.66","32.42","21.79","Лебедев Станислав Артурович","07.04.2025, Проиграли","28,872","9,35"
"Поковка вал-шестерня ч.ОФ-2-196487 П","ОФ-2-196487 П","Металлоинвест ХК","1.000","6,748","34CrNi3Mo","226,058.00","33.50","33.50","Нюняев Василий Евгеньевич","18.11.2024, Отменен","6,748","13,40"
"Полувалок","","","","","","","","","","","2,600","36,54"
"Полувалок 1220 ч.72В120","72В120","ЧТПЗ","10.000","260","9ХС","25,000.00","96.15","96.15","Ряхимов Али Рафикович","27.08.2024, Отменен","2,600","36,54"
"Полумуфта","","","","","","","","","","","1,975.88",""
"Полумуфта вала карданного ч.3Н4056-1","3Н4056-1","ЧТПЗ","6.000","20.21","45","1,020.10","50.48","39.65","Лебедев Станислав Артурович","28.12.2024, Проиграли","121.26","28,32"
"Полумуфта вала звездочки ч.37-252","37-252","ЧТПЗ","2.000","98.31","Ст. 3","","","","Лебедев Станислав Артурович","08.09.2023, Проиграли","196.62",""
"Полумуфта вал-шестерни ч.М 784.01.53","М 784.01.53","Кыштынский ГОК АО","2.000","254","45","15,240.00","60.00","60.00","Пилюгин Дмитрий Михайлович","29.08.2024, Отменен","508","26,00"
"Полумуфта выходного вала ч.41.27.00 Р","141.27.00 Р","Сибирский Цемент ТД","1.000","1,150","40","50,000.00","43.48","43.48","Лебедев Николай Леонидович","15.07.2025, Проиграли","1,150","21,61"
"Правильный","","","","","","","","","","","993","45,00"
"Правильный валок нижний ч.321363-3110","321363-3110","Ремстройдом","3.000","159","86CrMoV7","17,501.56","110.07","110.07","Диденко Виталий Тимофеевич","09.10.2024, Проиграли","477","45,00"
"Правильный валок верхний ч.321363-3100","321363-3100","Ремстройдом","3.000","172","86CrMoV7","18,932.50","110.07","110.07","Диденко Виталий Тимофеевич","09.10.2024, Проиграли","516","45,00"
"Приводной","","","","","","","","","","","1,708","15,00"
"Приводной валок ч.7-968 П100/1","7-968 П100/1","Киберсталь","7.000","244","СБ","9,000.00","36.89","36.89","Хусаева Патимат Халидовна","15.08.2025, Проиграли","1,708","15,00"
"Приспособление","","","","","","","","","","","2,391","20,00"
"Приспособление для закалки коленчатых валов ч.4С-50074 СБ","4С-50074 СБ","УДМЗ","1.000","1,082","СБ","106,400.00","98.34","98.34","Жуков Евгений Александрович","31.10.2024, Отказ от сделки","1,082","49,17"
"Приспособление для замены валков ч.19.10.2026.00.00.00 СБ","19.10.2026.00.00.00 СБ","ВТЗ","1.000","1,309","СБ","75,000.00","57.30","57.30","Лебедев Николай Леонидович","20.02.2025, Проиграли","1,309","20,00"
"Прокатный","","","","","","","","","","","13,848",""
"Прокатный валок 550х900 (4.424952L) ч.ПЦ370.ТО.5543","ПЦ370.ТО.5543","УМК-Сталь","6.000","2,308","СШХН-60","55,000.00","23.83","17.29","Зырянов Олег Юрьевич","15.02.2024, Проиграли","13,848",""
"Промвал","","","","","","","","","","","330.62","25,61"
"Промвал ч.М40-25.054","М40-25.054","ММК-МЕТИЗ","1.000","330.62","17Г1С","23,708.10","71.71","71.71","Лебедев Станислав Артурович","18.07.2025, Проиграли","330.62","25,61"
"Р","","","","","","","","","","","433,432.9",""
"Рабочий","","","","","","","","","","","247,500","23,00"
"Рабочий валок ч.АМП.001.1300.2800.В","АМП.001.1300.2800.В","Алтай Механика","6.000","41,250","75Х3МФА","1,702,692.54","41.28","34.51","Лебедев Николай Леонидович","23.10.2025, Подались","247,500","23,00"
"Разработка","","","","","","","","","","","",""
"Разработка конструкторской документации ""Трансмиссионный вал"" бурового насоса 3PN-1600","УРАЛМАШ-ТЕХСЕРВИС","УРАЛМАШ-ТЕХСЕРВИС","2.000","","","33,207.42","","","Солнышкин Дмитрий Сергеевич","13.10.2023, Выиграли","",""
"Разработка конструкторской документации ""Трансмиссионный вал"" бурового насоса 3PN-2000","УРАЛМАШ-ТЕХСЕРВИС","УРАЛМАШ-ТЕХСЕРВИС","2.000","","","33,207.42","","","Солнышкин Дмитрий Сергеевич","13.10.2023, Выиграли","",""
"Ролик","","","","","","","","","","","140,310.9",""
"Ролик штифтового вала ZQ25-191 (ZQ25.1.2-5)","ZQ25-191 (ZQ25.1.2-5)","Октябрьское УБР","32.000","1","","65.00","65.00","65.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","32","30,00"
"Ролик верхнего вала ч.3110/IХшвц","3110/IХшвц","Надеждинский МЗ","11.000","61.5","9Х1","4,200.00","68.29","68.29","Зырянов Олег Юрьевич","21.09.2023, Выиграли","676.5","46,61"
"Ролик с валом ч.ТПЦ-5137 СБ","ТПЦ-5137 СБ","ПНТЗ","4.000","115.85","СБ","20,273.75","175.00","175.00","Лебедев Станислав Артурович","28.08.2024, Отменен","463.4","50,00"
"Ролик полировальный нижний ч.КЦ1-159","КЦ1-159","Надеждинский МЗ","1.000","230","9Х","17,000.00","73.91","64.35","Зырянов Олег Юрьевич","22.07.2025, Проиграли","230","30,43"
"Ролик полировальный верхний ч.КЦ1-160","КЦ1-160","Надеждинский МЗ","1.000","255","9Х","17,000.00","66.67","65.49","Зырянов Олег Юрьевич","22.07.2025, Проиграли","255","27,45"
"Ролик с охлаждаемым валом ч.82L053.000 СБ","82L053.000 СБ","ВТЗ","8.000","445","СБ","31,740.00","71.33","69.78","Лебедев Станислав Артурович","30.10.2023, Выиграли частично","3,560",""
"Ролик полировальный верхний ч.КЦ1-158","КЦ1-158","Надеждинский МЗ","1.000","467","9Х","33,000.00","70.66","64.24","Зырянов Олег Юрьевич","17.03.2025, Проиграли","467","32,12"
"Ролик полировальный нижний ч.КЦ1-157","КЦ1-157","Надеждинский МЗ","1.000","467","9Х2МФ","33,000.00","70.66","64.24","Зырянов Олег Юрьевич","17.03.2025, Проиграли","467","32,12"
"Ролик вертикальный 800х342 (валок чугун.) ч.TDM.800.342.S.G.021","TDM.800.342.S.G.021","ЕВРАЗ ЗСМК","80.000","732","SGPII","23,327.00","31.87","31.87","Ряхимов Али Рафикович","06.11.2024, Проиграли","58,560","14,48"
"Ролик вертикальный 800х342 (валок сталь.) ч.TDM.800.342.S.G.022","TDM.800.342.S.G.022","ЕВРАЗ ЗСМК","20.000","764","16ГС","24,070.00","31.51","31.51","Ряхимов Али Рафикович","06.11.2024, Проиграли","15,280","14,32"
"Ролик вертикальный 800х342 (валок сталь) ч.TDM.800.342.S.G.007","TDM.800.342.S.G.007","ЕВРАЗ ЗСМК","20.000","764","СБ","24,070.00","31.51","31.51","Ряхимов Али Рафикович","06.11.2024, Проиграли","15,280","14,32"
"Ролик опорный с валом ч.1043.30.500.0 СБ","1043.30.500.0 СБ","Волховский цементный завод","2.000","2,420","СБ","80,000.00","33.06","33.06","Левичев Никита Сергеевич","31.10.2025, Подались","4,840","13,43"
"Ролик опорный с валом ч.219/8А-12В СБ","219/8А-12В СБ","Пикалевский глиноземный завод","1.000","6,700","СБ","285,000.00","42.54","30.60","Левичев Никита Сергеевич","08.10.2024, Проиграли","6,700","14,18"
"Ролик опорный с валом ч.219/8А-12В СБ","219/8А-12В СБ","Пикалевский глиноземный завод","5.000","6,700","СБ","250,000.00","37.31","32.39","Левичев Никита Сергеевич","07.12.2025, Проиграли","33,500","14,18"
"Ротор","","","","","","","","","","","7,752","41,28"
"Ротор с валом ч.ИВТ01-00.000 СБ","ИВТ01-00.000 СБ","УРАЛКАЛИЙ-РЕМОНТ","1.000","3,876","СБ","365,000.00","94.17","94.17","Жуков Евгений Александрович","31.01.2025, Проиграли","3,876","41,28"
"Ротор с валом ч.ИВТ01-00.000 СБ","ИВТ01-00.000 СБ","УРАЛКАЛИЙ-РЕМОНТ","1.000","3,876","СБ","488,376.00","126.00","76.69","Жуков Евгений Александрович","21.10.2024, Проиграли","3,876","43,09"
"Рубашка","","","","","","","","","","","37,870","36,23"
"Рубашка валка кристаллизатора ч.СА03.012.00.001","СА03.012.00.001","РУСАЛ АО","14.000","2,705","32Cr3Mo1V","186,200.00","68.84","65.80","Левичев Никита Сергеевич","22.09.2025, Подались","37,870","36,23"
"С","","","","","","","","","","","37,912.36","20,89"
"Стеллаж","","","","","","","","","","","614.22","34,94"
"Стеллаж для хранения новых подшипников рабочих валков дрессировочного стана ч.090U23020M","090U23020M","ТМК ЭТЕРНО","1.000","614.22","СБ","36,538.46","59.49","52.60","Жуков Евгений Александрович","30.05.2025, Проиграли","614.22","34,94"
"Стеллажи","","","","","","","","","","","36,683.14","20,89"
"Стеллажи для хранения 1-х промежуточных валков ч.090U23015M","090U23015M","ТМК ЭТЕРНО","15.000","174.16","СБ","6,846.15","39.31","34.89","Жуков Евгений Александрович","30.05.2025, Проиграли","2,612.4","23,13"
"Стеллажи для перевозки рабочих валков 20-ти валкового стана ч.090U23014M","090U23014M","ТМК ЭТЕРНО","2.000","178.94","СБ","7,538.46","42.13","36.97","Жуков Евгений Александрович","30.05.2025, Проиграли","357.88","24,71"
