"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Бочка валка ч.147925-5А-5","147925-5А-5","ЧТПЗ","2.000","2,500","45","75,000.00","30.00","26.40","Жуков Евгений Александрович","14.03.2025, Отменен","5,000","12,48"
"Бочка валка ч.147925-5А-5","147925-5А-5","ЧТПЗ","2.000","2,500","45","130,000.00","52.00","26.40","Ряхимов Али Рафикович","26.12.2024, Отменен","5,000","12,48"
"Бочка валка ч.Т1-575-390","Т1-575-390","СТЗ","6.000","10,462","55Х","314,500.00","30.06","30.06","Лебедев Станислав Артурович","28.06.2023, Отменен","62,772",""
"Бочка валка ч.Т1-575-390","Т1-575-390","СТЗ","6.000","10,462","55Х","410,000.00","39.19","39.19","","26.01.2023, Отменен","62,772",""
"Букса","","","","","","","","","","","449",""
"Букса тяга вала ч.861347.2","861347.2","ОЭМК","2.000","47.5","17Г1С","6,735.80","141.81","141.81","Максутов Бектурсун Абдилнабиевич","14.08.2024, Проиграли","95",""
"Букса тяга вала ч.861346.2","861346.2","ОЭМК","2.000","57.5","17Г1С","8,139.08","141.55","141.55","Максутов Бектурсун Абдилнабиевич","14.08.2024, Проиграли","115",""
"Букса тяга вала ч.861345.3","861345.3","ОЭМК","2.000","119.5","17Г1С","16,839.51","140.92","124.02","Максутов Бектурсун Абдилнабиевич","14.08.2024, Проиграли","239","65,27"
"В","","","","","","","","","","","39,249,459.349",""
"Вал","","","","","","","","","","","4,227,665.749",""
"Вал в сборе ч.М501.6.75.01.20И1-II СБ","М501.6.75.01.20И1-II СБ","КАМА ТД","1.000","","","112,000.00","","","Ряхимов Али Рафикович","28.12.2023, Выиграли частично","",""
"Вал винтового рычага 22.210-03","22.210-03","Октябрьское УБР","3.000","0.5","","115.00","230.00","230.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","1.5","90,00"
"Вал поворотной ручки ZQ25-183 (ZQ25.1.8-4A)","ZQ25-183 (ZQ25.1.8-4A)","Октябрьское УБР","2.000","0.5","","110.00","220.00","220.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","1","120,00"
"Вал центрирующего ролика ZQ25-13 (ZQ25.1-3)","ZQ25-13 (ZQ25.1-3)","Октябрьское УБР","46.000","0.5","","60.00","120.00","120.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","23","60,00"
"Вал ч.12-1460508","12-1460508","Киберсталь","4.000","0.67","45","104.00","155.22","155.22","Нюняев Василий Евгеньевич","04.12.2024, Не участвовали","2.68","59,70"
"Вал вилки переключения передач ZQ25-108 (ZQ25.1.6-1)","ZQ25-108 (ZQ25.1.6-1)","Октябрьское УБР","1.000","1","","155.00","155.00","155.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","1","80,00"
"Вал центрирующего ролика ZQ25-194 (ZQ25.1-2-3)","ZQ25-194 (ZQ25.1-2-3)","Октябрьское УБР","32.000","1","","85.00","85.00","85.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","32","40,00"
"Вал ч.Э-403064-9","Э-403064-9","ЧТПЗ","1.000","1.1","20Х17Н2","769.23","699.30","699.30","Омаров Сайпудин Мурадович","23.04.2024, Проиграли","1.1","146,91"
"Вал шестерня ч.20719931","20719931","ТАГМЕТ","25.000","1.35","18Х2Н2М","3,059.45","2,266.26","2,266.26","Валитов Рамиль Амирханович","27.02.2024, Выиграли","67.5",""
"Вал ZQ25-119 (ZQ25.1. 8-4-1)","ZQ25-119 (ZQ25.1. 8-4-1)","Октябрьское УБР","5.000","2","","100.00","50.00","50.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","10","25,00"
"Вал ч.20714378","20714378","ТАГМЕТ","10.000","2.2","40Х","960.00","436.36","436.36","Валитов Рамиль Амирханович","27.02.2024, Выиграли","22",""
"Вал шестерня ч.Р-4499-3","Р-4499-3","ТАГМЕТ","8.000","2.5","40Х","1,776.91","710.77","710.77","Валитов Рамиль Амирханович","21.02.2024, Выиграли","20",""
"Вал шестерня ч.Р-4499-3","Р-4499-3","ТАГМЕТ","8.000","2.5","40Х","1,780.20","712.08","712.08","Валитов Рамиль Амирханович","27.03.2024, Выиграли","20","39,56"
"ВАЛ ПРОМЕЖУТОЧНЫЙ ч.ЭК-295-3","ЭК-295-3","ПНТЗ","8.000","2.6","45","109.68","42.18","42.18","Лебедев Станислав Артурович","20.02.2024, Выиграли","20.8","389,18"
"Вал приводной ч.031-04.005615.01","031-04.005615.01","Магнезит Комбинат","10.000","2.8","45","519.72","185.61","185.61","Жуков Евгений Александрович","17.01.2024, Выиграли","28",""
"Вал промежуточной шестерни ZQ25-80 (ZQ25.1.3-4)","ZQ25-80 (ZQ25.1.3-4)","Октябрьское УБР","8.000","3","","300.00","100.00","100.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","24","50,00"
"Вал ролика ZQ25-62","ZQ25-62","Октябрьское УБР","10.000","3","","140.00","46.67","46.67","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","30","20,00"
"Вал солнечный ч.ТДД.01.01.0002.001","ТДД.01.01.0002.001","Форвард Энерго","5.000","3","20CrMnTi","9,430.00","3,143.33","3,143.33","Аскеров Аскер Алиевич","24.03.2025, Отменен","15","93,33"
"Вал шестерни ZQ25-85 (ZQ25.1.4-5)","ZQ25-85 (ZQ25.1.4-5)","Октябрьское УБР","4.000","3","","300.00","100.00","100.00","Солнышкин Дмитрий Сергеевич","15.01.2025, Мониторинг цен","12","51,67"
